year,ccode,leaderid,leadername,birthyear,startdate,enddate
1992,31,LEAD.v1-10001,Pindling,1930,1967-01-16,1992-08-21
2001,31,LEAD.v1-10002,Ingraham,1947,1992-08-21,2002-05-02
1914,42,LEAD.v1-10004,Baez,1858,1914-08-27,1914-12-05
1976,53,LEAD.v1-10005,Barrow,1920,1966-11-18,1976-09-08
1985,53,LEAD.v1-10006,Adams,1931,1976-10-08,1985-03-11
1986,53,LEAD.v1-10007,St. John,1931,1985-03-11,1986-05-29
1987,53,LEAD.v1-10008,Barrow,1920,1986-05-29,1987-06-01
1994,53,LEAD.v1-10009,Sandiford,1937,1987-06-01,1994-09-06
2001,53,LEAD.v1-10010,Arthur,1949,1994-09-07,2004-12-31
1979,54,LEAD.v1-10011,John,,,
1992,54,LEAD.v1-10012,"Charles, Eugenia",,1980-07-21,1995-06-14
1979,55,LEAD.v1-10013,"Gairy, Eric",,,
1983,55,LEAD.v1-10014,"Bishop, Maurice",,,
1989,55,LEAD.v1-10015,"Blaize, Herbert",,,
1990,55,LEAD.v1-10016,Jones,,,
1992,55,LEAD.v1-10017,"Brathwaite, Nicholas",,,
1981,56,LEAD.v1-10018,"Louisy, Allan",,,
1982,56,LEAD.v1-10019,"Cenac, Winston F.",,,
1992,56,LEAD.v1-10020,"Compton, John G. M.",,,
1984,57,LEAD.v1-10021,"Cato, Milton",,,
1992,57,LEAD.v1-10022,"Mitchell, Keith",,,
1992,58,LEAD.v1-10023,"Bird, Vere Cornwall",,,
1992,60,LEAD.v1-10024,"Simmonds, Kennedy A.",,,
1984,80,LEAD.v1-10025,Price,1919,1961-04-07,1984-12-17
1989,80,LEAD.v1-10026,Esquivel,1940,1984-12-17,1989-11-07
1993,80,LEAD.v1-10027,Price,1919,1989-11-07,1993-07-03
1998,80,LEAD.v1-10028,Esquivel,1940,1993-07-03,1998-08-28
2001,80,LEAD.v1-10029,Musa,1944,1998-08-28,2004-12-31
1979,115,LEAD.v1-10030,Ferrier,1910,1975-11-25,1980-08-12
1988,115,LEAD.v1-10301,Bouterse,1946,1980-08-13,1988-01-25
1989,115,LEAD.v1-10302,Shankar,1937,1988-01-25,1990-12-29
1991,115,LEAD.v1-10033,Kraag,1913,1990-12-29,1991-09-16
1996,115,LEAD.v1-10034,Venetiaan,1936,1991-09-16,1996-09-15
2000,115,LEAD.v1-10035,Wijdenbosch,1941,1996-09-15,2000-08-12
2001,115,LEAD.v1-10036,Venetiaan,1936,2000-08-12,2004-12-31
1884,212,LEAD.v1-10300,Felix de Blochausen,1834,1874-12-26,1885-02-20
1888,212,LEAD.v1-10031,Edouard Thilges,1817,1885-02-20,1888-09-22
1914,212,LEAD.v1-10032,Paul Eyschen,1841,1888-09-22,1915-10-11
1915,212,LEAD.v1-10303,Mathias Mongenast,1843,1915-10-12,1915-11-06
1916,212,LEAD.v1-10304,Hubert Loutsch,1878,1915-11-06,1916-02-24
1917,212,LEAD.v1-13214,Victor Thorn,1844,1916-02-24,1917-06-19
1918,212,LEAD.v1-13217,Leon Kauffman,1869,1917-06-19,1918-09-28
1919,212,LEAD.v1-10037,Reuter,1874,1918-09-28,1925-03-01
1925,212,LEAD.v1-10038,Reuter,1874,1918-09-28,1925-03-01
1926,212,LEAD.v1-10039,Prum,1886,1925-03-01,1926-07-01
1936,212,LEAD.v1-10040,Bech,1887,1926-07-16,1937-11-05
1940,212,LEAD.v1-14001,Dupong,1885,1937-11-05,1940-05-10
1952,212,LEAD.v1-10041,Dupong,1885,1945-05-09,1953-12-23
1957,212,LEAD.v1-10042,Bech,1887,1953-12-28,1958-03-29
1958,212,LEAD.v1-10043,Frieden,1892,1958-03-31,1959-02-23
1973,212,LEAD.v1-10044,Werner,1913,1959-03-07,1974-06-15
1978,212,LEAD.v1-10045,Thorn G.,1928,1974-06-15,1979-07-16
1984,212,LEAD.v1-10046,Werner,1913,1979-07-19,1984-07-20
1995,212,LEAD.v1-10047,Santer,1937,1984-07-20,1995-01-20
2001,212,LEAD.v1-10048,Juncker,1954,1995-01-20,2004-12-31
1992,223,LEAD.v1-10049,"Brunhart, Hans",,1978-04-26,1993-05-26
1970,338,LEAD.v1-10050,Olivier,1911,1962-03-05,1971-06-21
1984,338,LEAD.v1-10051,Mintoff,1916,1971-06-21,1984-12-22
1987,338,LEAD.v1-10052,Bonnici,1933,1984-12-22,1987-05-12
1996,338,LEAD.v1-10053,Adami,1934,1987-05-12,1996-10-28
1997,338,LEAD.v1-10054,Sant,1948,1996-10-28,1998-09-05
2001,338,LEAD.v1-10055,Adami,1934,1998-09-06,2004-03-23
1917,341,LEAD.v1-10056,Nikola I Petrovic-Njegos,1841,1860-08-13,1918-11-26
1944,345,LEAD.v1-10057,Peter II,,1941-03-25,1945-11-29
1947,395,LEAD.v1-10058,Thors,1892,1944-10-21,1947-02-03
1948,395,LEAD.v1-10059,Stefansson,1894,1947-02-03,
1950,395,LEAD.v1-10060,Thors,1892,1949-12-06,1950-03-14
1952,395,LEAD.v1-10061,Steinthorsson,1893,1950-03-14,
1956,395,LEAD.v1-10062,Thors,1892,1953-09-13,1956-07-21
1958,395,LEAD.v1-10063,Jonasson,1896,1956-07-21,1958-12-04
1959,395,LEAD.v1-10064,Jonsson,1902,1958-12-23,1959-11-20
1963,395,LEAD.v1-10065,Thors,1892,1959-11-20,1963-11-12
1969,395,LEAD.v1-10066,Benediktsson,1908,1963-11-14,
1971,395,LEAD.v1-10067,Hafstein,1915,1970-07-10,1971-07-14
1973,395,LEAD.v1-10068,Johannesson,1913,1971-07-14,
1978,395,LEAD.v1-10069,Hallgrimsson,1925,1974-08-29,1978-08-31
1979,395,LEAD.v1-10070,Groendal,1924,1979-10-15,
1980,395,LEAD.v1-10071,Thoroddsen,1910,1980-02-08,
1981,395,LEAD.v1-10072,Thoroddsen,1910,1980-02-08,
1982,395,LEAD.v1-10073,Thoroddsen,1910,1980-02-08,
1986,395,LEAD.v1-10074,Hermannsson,1928,1983-05-26,
1988,395,LEAD.v1-10075,Palsson,1947,1987-07-08,1988-09-28
1991,395,LEAD.v1-10076,Hermannsson,1928,1988-09-28,1991-04-30
2001,395,LEAD.v1-10077,Oddsson,1948,1991-04-30,
1991,402,LEAD.v1-10079,Pires,1934,1975-07-08,1991-12-04
1999,402,LEAD.v1-10080,Veiga,1949,1991-01-04,
2000,402,LEAD.v1-10081,do Rosario,1950,2000-07-29,
2001,402,LEAD.v1-10082,Neves,1960,2001-02-01,2004-12-31
1963,511,LEAD.v1-10083,Shamte Hamadi,,1961-06-05,1964-01-12
1964,511,LEAD.v1-10084,Kassim Hanga,1932,1964-01-12,1964-04-27
1877,563,LEAD.v1-10085,Burgers,1834,1872-07-01,1877-04-12
1878,563,LEAD.v1-10086,Shepstone,1817,1877-04-12,1879-03-31
1880,563,LEAD.v1-10087,Lanyon,1842,1879-03-04,1881-08-31
1883,563,LEAD.v1-10088,Triumvirate,,1881-08-08,1883-05-09
1899,563,LEAD.v1-10089,Kruger,1825,1883-05-09,1900-09-10
1902,563,LEAD.v1-10090,Schalk Burger,1852,1900-09-10,1902-05-31
1904,563,LEAD.v1-10091,Milner,1854,1902-06-21,1905-04-02
1907,563,LEAD.v1-10092,Palmer,1859,1905-04-02,1907-02-04
1910,563,LEAD.v1-10093,Louis Botha,1862,1907-02-04,1910-05-31
1885,711,LEAD.v1-7864,Tatsak Rinpoche,,1875-04-25,1886-06-15
1894,711,LEAD.v1-7867,Demo Tulku Trinley Rabgyey,,1886-06-15,1895-01-08
1932,711,LEAD.v1-7870,13th Dalai Lama,1876,1895-01-08,1933-12-17
1941,711,LEAD.v1-10097,Radreng Hutukto,1911,1933-12-17,1941-06-30
1950,711,LEAD.v1-7876,Taktra Rimpoche,,1941-06-30,1950-11-11
1951,711,LEAD.v1-7879,14th Dalai Lama,1935,1950-11-17,1951-05-23
1956,781,LEAD.v1-10100,Ali Didi,,1953-09-02,1957-12-12
1977,781,LEAD.v1-10101,Nasir,1926,1957-12-12,1978-11-11
2001,781,LEAD.v1-10102,Gayoom,1937,1978-11-11,2004-12-31
2001,835,LEAD.v1-10103,Hassanal Bolkiah,1946,1967-10-04,2004-12-31
1981,940,LEAD.v1-10104,Kenilorea,1943,1978-07-07,1981-08-31
1983,940,LEAD.v1-10105,Mamaloni,1943,1981-08-31,1984-11-19
1985,940,LEAD.v1-10106,Kenilorea,1943,1984-11-19,1986-12-01
1989,940,LEAD.v1-10107,Alebua,1947,1986-12-01,1989-03-28
1993,940,LEAD.v1-10108,Mamaloni,1943,1989-03-28,1993-06-18
1994,940,LEAD.v1-10109,Hilly,1947,1993-06-18,1994-10-31
1997,940,LEAD.v1-10110,Mamaloni,1943,1994-10-31,1997-08-27
1999,940,LEAD.v1-10111,Ulufa'alu,1950,1997-08-27,2000-06-30
2001,940,LEAD.v1-10112,Sogavare,1954,2000-06-30,2001-12-17
